152	0	YO	YR	Y
153	0	YS	YS	Y
154	0	YT	YU	Y
155	0	YV	YY	Y
155	1	4M	4M	Y
156	0	Z2	Z2	N
157	0	Z3	Z3	Y
158	0	ZA	ZA	N
159	0	ZB	ZB	Y
160	0	ZF	ZF	Y
161	0	ZL	ZM	Y
162	0	ZP	ZP	Y
163	0	ZR	ZU	Y
164	0	4U1ITU	4U1ITU	Y
165	0	EP	EQ	Y
165	1	9B	9D	Y
166	0	EX	EX	Y
167	0	HL9	HL9	Y
168	0	VP8	VP8	Y
